0,1,2
9606.ensp00000233838,coagulation factor viia recombinant human,ProteinDrug
9606.ensp00000334145,coagulation factor viia recombinant human,ProteinDrug
9606.ensp00000410294,palifermin,ProteinDrug
9606.ensp00000393312,palifermin,ProteinDrug
9606.ensp00000339824,palifermin,ProteinDrug
9606.ensp00000452786,abciximab,ProteinDrug
9606.ensp00000433642,abciximab,ProteinDrug
9606.ensp00000438615,abciximab,ProteinDrug
9606.ensp00000363773,abciximab,ProteinDrug
9606.ensp00000313967,abciximab,ProteinDrug
9606.ensp00000363770,abciximab,ProteinDrug
9606.ensp00000356946,abciximab,ProteinDrug
9606.ensp00000385035,abciximab,ProteinDrug
9606.ensp00000358165,abciximab,ProteinDrug
9606.ensp00000271450,abciximab,ProteinDrug
9606.ensp00000351497,abciximab,ProteinDrug
9606.ensp00000353393,drotrecogin alfa,ProteinDrug
9606.ensp00000356771,drotrecogin alfa,ProteinDrug
9606.ensp00000308541,drotrecogin alfa,ProteinDrug
9606.ensp00000223095,drotrecogin alfa,ProteinDrug
9606.ensp00000233838,drotrecogin alfa,ProteinDrug
9606.ensp00000264613,drotrecogin alfa,ProteinDrug
9606.ensp00000358165,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000433642,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000385035,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000438615,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000363773,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000313967,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000363770,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000356946,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000271450,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000351497,gemtuzumab ozogamicin,ProteinDrug
9606.ensp00000303830,insulin pork,ProteinDrug
9606.ensp00000268035,insulin pork,ProteinDrug
9606.ensp00000265986,insulin pork,ProteinDrug
9606.ensp00000236671,insulin pork,ProteinDrug
9606.ensp00000269571,trastuzumab,ProteinDrug
9606.ensp00000275493,trastuzumab,ProteinDrug
9606.ensp00000438615,trastuzumab,ProteinDrug
9606.ensp00000363773,trastuzumab,ProteinDrug
9606.ensp00000313967,trastuzumab,ProteinDrug
9606.ensp00000363770,trastuzumab,ProteinDrug
9606.ensp00000385035,trastuzumab,ProteinDrug
9606.ensp00000358165,trastuzumab,ProteinDrug
9606.ensp00000271450,trastuzumab,ProteinDrug
9606.ensp00000351497,trastuzumab,ProteinDrug
9606.ensp00000433642,trastuzumab,ProteinDrug
9606.ensp00000356946,trastuzumab,ProteinDrug
9606.ensp00000358165,basiliximab,ProteinDrug
9606.ensp00000356946,basiliximab,ProteinDrug
9606.ensp00000271450,basiliximab,ProteinDrug
9606.ensp00000351497,basiliximab,ProteinDrug
9606.ensp00000433642,basiliximab,ProteinDrug
9606.ensp00000385035,basiliximab,ProteinDrug
9606.ensp00000438615,basiliximab,ProteinDrug
9606.ensp00000363773,basiliximab,ProteinDrug
9606.ensp00000313967,basiliximab,ProteinDrug
9606.ensp00000363770,basiliximab,ProteinDrug
9606.ensp00000433642,muromonab,ProteinDrug
9606.ensp00000438615,muromonab,ProteinDrug
9606.ensp00000363773,muromonab,ProteinDrug
9606.ensp00000313967,muromonab,ProteinDrug
9606.ensp00000363770,muromonab,ProteinDrug
9606.ensp00000356946,muromonab,ProteinDrug
9606.ensp00000385035,muromonab,ProteinDrug
9606.ensp00000358165,muromonab,ProteinDrug
9606.ensp00000271450,muromonab,ProteinDrug
9606.ensp00000351497,muromonab,ProteinDrug
9606.ensp00000433277,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000433642,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000438615,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000363773,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000313967,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000363770,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000356946,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000385035,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000358165,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000271450,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000351497,ibritumomab tiuxetan,ProteinDrug
9606.ensp00000433277,tositumomab,ProteinDrug
9606.ensp00000433642,tositumomab,ProteinDrug
9606.ensp00000438615,tositumomab,ProteinDrug
9606.ensp00000363773,tositumomab,ProteinDrug
9606.ensp00000313967,tositumomab,ProteinDrug
9606.ensp00000363770,tositumomab,ProteinDrug
9606.ensp00000356946,tositumomab,ProteinDrug
9606.ensp00000358165,tositumomab,ProteinDrug
9606.ensp00000271450,tositumomab,ProteinDrug
9606.ensp00000351497,tositumomab,ProteinDrug
9606.ensp00000433642,alemtuzumab,ProteinDrug
9606.ensp00000438615,alemtuzumab,ProteinDrug
9606.ensp00000363773,alemtuzumab,ProteinDrug
9606.ensp00000313967,alemtuzumab,ProteinDrug
9606.ensp00000363770,alemtuzumab,ProteinDrug
9606.ensp00000356946,alemtuzumab,ProteinDrug
9606.ensp00000358165,alemtuzumab,ProteinDrug
9606.ensp00000271450,alemtuzumab,ProteinDrug
9606.ensp00000351497,alemtuzumab,ProteinDrug
9606.ensp00000419425,ciclosporin,ProteinDrug
9606.ensp00000438615,alefacept,ProteinDrug
9606.ensp00000363773,alefacept,ProteinDrug
9606.ensp00000313967,alefacept,ProteinDrug
9606.ensp00000363770,alefacept,ProteinDrug
9606.ensp00000356946,alefacept,ProteinDrug
9606.ensp00000358165,alefacept,ProteinDrug
9606.ensp00000271450,alefacept,ProteinDrug
9606.ensp00000351497,alefacept,ProteinDrug
9606.ensp00000433642,alefacept,ProteinDrug
9606.ensp00000349252,efalizumab,ProteinDrug
9606.ensp00000358165,efalizumab,ProteinDrug
9606.ensp00000433642,efalizumab,ProteinDrug
9606.ensp00000438615,efalizumab,ProteinDrug
9606.ensp00000363773,efalizumab,ProteinDrug
9606.ensp00000313967,efalizumab,ProteinDrug
9606.ensp00000363770,efalizumab,ProteinDrug
9606.ensp00000356946,efalizumab,ProteinDrug
9606.ensp00000271450,efalizumab,ProteinDrug
9606.ensp00000351497,efalizumab,ProteinDrug
9606.ensp00000349252,antithymocyte immunoglobulin (rabbit),ProteinDrug
9606.ensp00000351497,antithymocyte immunoglobulin (rabbit),ProteinDrug
9606.ensp00000452786,antithymocyte immunoglobulin (rabbit),ProteinDrug
9606.ensp00000364709,coagulation factor ix (recombinant),ProteinDrug
9606.ensp00000384957,coagulation factor ix (recombinant),ProteinDrug
9606.ensp00000364731,coagulation factor ix (recombinant),ProteinDrug
9606.ensp00000353393,coagulation factor ix (recombinant),ProteinDrug
9606.ensp00000308541,coagulation factor ix (recombinant),ProteinDrug
9606.ensp00000243077,coagulation factor ix (recombinant),ProteinDrug
9606.ensp00000233838,coagulation factor ix (recombinant),ProteinDrug
9606.ensp00000380227,natalizumab,ProteinDrug
9606.ensp00000358165,natalizumab,ProteinDrug
9606.ensp00000433642,natalizumab,ProteinDrug
9606.ensp00000438615,natalizumab,ProteinDrug
9606.ensp00000363773,natalizumab,ProteinDrug
9606.ensp00000313967,natalizumab,ProteinDrug
9606.ensp00000363770,natalizumab,ProteinDrug
9606.ensp00000356946,natalizumab,ProteinDrug
9606.ensp00000271450,natalizumab,ProteinDrug
9606.ensp00000351497,natalizumab,ProteinDrug
9606.ensp00000358165,palivizumab,ProteinDrug
9606.ensp00000433642,palivizumab,ProteinDrug
9606.ensp00000438615,palivizumab,ProteinDrug
9606.ensp00000363773,palivizumab,ProteinDrug
9606.ensp00000313967,palivizumab,ProteinDrug
9606.ensp00000363770,palivizumab,ProteinDrug
9606.ensp00000356946,palivizumab,ProteinDrug
9606.ensp00000271450,palivizumab,ProteinDrug
9606.ensp00000351497,palivizumab,ProteinDrug
9606.ensp00000433642,daclizumab,ProteinDrug
9606.ensp00000438615,daclizumab,ProteinDrug
9606.ensp00000363773,daclizumab,ProteinDrug
9606.ensp00000313967,daclizumab,ProteinDrug
9606.ensp00000363770,daclizumab,ProteinDrug
9606.ensp00000356946,daclizumab,ProteinDrug
9606.ensp00000358165,daclizumab,ProteinDrug
9606.ensp00000271450,daclizumab,ProteinDrug
9606.ensp00000351497,daclizumab,ProteinDrug
9606.ensp00000478570,bevacizumab,ProteinDrug
9606.ensp00000433642,bevacizumab,ProteinDrug
9606.ensp00000438615,bevacizumab,ProteinDrug
9606.ensp00000363773,bevacizumab,ProteinDrug
9606.ensp00000313967,bevacizumab,ProteinDrug
9606.ensp00000363770,bevacizumab,ProteinDrug
9606.ensp00000356946,bevacizumab,ProteinDrug
9606.ensp00000358165,bevacizumab,ProteinDrug
9606.ensp00000271450,bevacizumab,ProteinDrug
9606.ensp00000351497,bevacizumab,ProteinDrug
9606.ensp00000234111,pyridoxal phosphate,ProteinDrug
9606.ensp00000399415,pyridoxal phosphate,ProteinDrug
9606.ensp00000378408,pyridoxal phosphate,ProteinDrug
9606.ensp00000302620,pyridoxal phosphate,ProteinDrug
9606.ensp00000403644,pyridoxal phosphate,ProteinDrug
9606.ensp00000355536,cyanocobalamin,ProteinDrug
9606.ensp00000365777,cyanocobalamin,ProteinDrug
9606.ensp00000355536,tetrahydrofolic acid,ProteinDrug
9606.ensp00000236959,tetrahydrofolic acid,ProteinDrug
9606.ensp00000365777,tetrahydrofolic acid,ProteinDrug
9606.ensp00000354511,ademetionine,ProteinDrug
9606.ensp00000320171,pyruvic acid,ProteinDrug
9606.ensp00000465734,pyruvic acid,ProteinDrug
9606.ensp00000261187,pyruvic acid,ProteinDrug
9606.ensp00000441065,pyruvic acid,ProteinDrug
9606.ensp00000370571,l-phenylalanine,ProteinDrug
9606.ensp00000448059,l-phenylalanine,ProteinDrug
9606.ensp00000303211,choline,ProteinDrug
9606.ensp00000264381,choline,ProteinDrug
9606.ensp00000407546,choline,ProteinDrug
9606.ensp00000361471,l-arginine,ProteinDrug
9606.ensp00000376776,ascorbic acid,ProteinDrug
9606.ensp00000355601,ascorbic acid,ProteinDrug
9606.ensp00000264162,ascorbic acid,ProteinDrug
9606.ensp00000234111,spermine,ProteinDrug
9606.ensp00000420194,spermine,ProteinDrug
9606.ensp00000358301,spermine,ProteinDrug
9606.ensp00000305372,spermine,ProteinDrug
9606.ensp00000361471,l-aspartic acid,ProteinDrug
9606.ensp00000333019,l-aspartic acid,ProteinDrug
9606.ensp00000381057,l-aspartic acid,ProteinDrug
9606.ensp00000261267,l-aspartic acid,ProteinDrug
9606.ensp00000349446,ornithine,ProteinDrug
9606.ensp00000264220,l-glutamine,ProteinDrug
9606.ensp00000307900,l-glutamine,ProteinDrug
9606.ensp00000362608,adenosine phosphate,ProteinDrug
9606.ensp00000304229,adenosine phosphate,ProteinDrug
9606.ensp00000286621,adenosine phosphate,ProteinDrug
9606.ensp00000384763,alpha-linolenic acid,ProteinDrug
9606.ensp00000459962,alpha-linolenic acid,ProteinDrug
9606.ensp00000385523,alpha-linolenic acid,ProteinDrug
9606.ensp00000447149,alpha-linolenic acid,ProteinDrug
9606.ensp00000310928,alpha-linolenic acid,ProteinDrug
9606.ensp00000287820,alpha-linolenic acid,ProteinDrug
9606.ensp00000419692,alpha-linolenic acid,ProteinDrug
9606.ensp00000302620,serine,ProteinDrug
9606.ensp00000355536,methionine,ProteinDrug
9606.ensp00000325312,methionine,ProteinDrug
9606.ensp00000280612,glutamic acid,ProteinDrug
9606.ensp00000233838,glutamic acid,ProteinDrug
9606.ensp00000428994,glutamic acid,ProteinDrug
9606.ensp00000378408,glutamic acid,ProteinDrug
9606.ensp00000296526,glutamic acid,ProteinDrug
9606.ensp00000481554,glutamic acid,ProteinDrug
9606.ensp00000307900,glutamic acid,ProteinDrug
9606.ensp00000216951,glutathione,ProteinDrug
9606.ensp00000311469,glutathione,ProteinDrug
9606.ensp00000358851,glutathione,ProteinDrug
9606.ensp00000381607,glutathione,ProteinDrug
9606.ensp00000407375,glutathione,ProteinDrug
9606.ensp00000362463,glutathione,ProteinDrug
9606.ensp00000295256,glutathione,ProteinDrug
9606.ensp00000420168,glutathione,ProteinDrug
9606.ensp00000335620,glutathione,ProteinDrug
9606.ensp00000285930,glutathione,ProteinDrug
9606.ensp00000361405,glutathione,ProteinDrug
9606.ensp00000337915,glutathione,ProteinDrug
9606.ensp00000408695,phosphatidyl serine,ProteinDrug
9606.ensp00000264428,glycine,ProteinDrug
9606.ensp00000216951,glycine,ProteinDrug
9606.ensp00000302620,glycine,ProteinDrug
9606.ensp00000274093,glycine,ProteinDrug
9606.ensp00000411593,glycine,ProteinDrug
9606.ensp00000243389,glycine,ProteinDrug
9606.ensp00000216951,l-cysteine,ProteinDrug
9606.ensp00000302111,l-cysteine,ProteinDrug
9606.ensp00000361471,l-citrulline,ProteinDrug
9606.ensp00000199936,nadh,ProteinDrug
9606.ensp00000296412,nadh,ProteinDrug
9606.ensp00000358421,nadh,ProteinDrug
9606.ensp00000370254,nadh,ProteinDrug
9606.ensp00000316786,nadh,ProteinDrug
9606.ensp00000466799,nadh,ProteinDrug
9606.ensp00000369822,nadh,ProteinDrug
9606.ensp00000263321,nadh,ProteinDrug
9606.ensp00000355995,nadh,ProteinDrug
9606.ensp00000396308,nadh,ProteinDrug
9606.ensp00000306606,nadh,ProteinDrug
9606.ensp00000311095,nadh,ProteinDrug
9606.ensp00000445175,nadh,ProteinDrug
9606.ensp00000426083,nadh,ProteinDrug
9606.ensp00000354687,nadh,ProteinDrug
9606.ensp00000229239,nadh,ProteinDrug
9606.ensp00000287936,nadh,ProteinDrug
9606.ensp00000369927,nadh,ProteinDrug
9606.ensp00000263368,nadh,ProteinDrug
9606.ensp00000370129,nadh,ProteinDrug
9606.ensp00000321584,nadh,ProteinDrug
9606.ensp00000216117,nadh,ProteinDrug
9606.ensp00000285930,nadh,ProteinDrug
9606.ensp00000345096,nadh,ProteinDrug
9606.ensp00000356438,icosapent,ProteinDrug
9606.ensp00000354612,icosapent,ProteinDrug
9606.ensp00000287820,icosapent,ProteinDrug
9606.ensp00000310928,icosapent,ProteinDrug
9606.ensp00000384763,icosapent,ProteinDrug
9606.ensp00000459962,icosapent,ProteinDrug
9606.ensp00000385523,icosapent,ProteinDrug
9606.ensp00000302620,l-alanine,ProteinDrug
9606.ensp00000243389,l-alanine,ProteinDrug
9606.ensp00000378408,l-alanine,ProteinDrug
9606.ensp00000295256,vitamin a,ProteinDrug
9606.ensp00000255858,vitamin e,ProteinDrug
9606.ensp00000363512,vitamin e,ProteinDrug
9606.ensp00000478755,vitamin e,ProteinDrug
9606.ensp00000215812,vitamin e,ProteinDrug
9606.ensp00000305355,vitamin e,ProteinDrug
9606.ensp00000336528,vitamin e,ProteinDrug
9606.ensp00000408695,vitamin e,ProteinDrug
9606.ensp00000459962,aspartame,ProteinDrug
9606.ensp00000447173,cholecalciferol,ProteinDrug
9606.ensp00000233838,menadione,ProteinDrug
9606.ensp00000378426,menadione,ProteinDrug
9606.ensp00000308541,menadione,ProteinDrug
9606.ensp00000364731,menadione,ProteinDrug
9606.ensp00000218099,menadione,ProteinDrug
9606.ensp00000364709,menadione,ProteinDrug
9606.ensp00000234071,menadione,ProteinDrug
9606.ensp00000369822,menadione,ProteinDrug
9606.ensp00000319788,menadione,ProteinDrug
9606.ensp00000361423,atp,ProteinDrug
9606.ensp00000303960,atp,ProteinDrug
9606.ensp00000373700,atp,ProteinDrug
9606.ensp00000451828,atp,ProteinDrug
9606.ensp00000281456,atp,ProteinDrug
9606.ensp00000361471,atp,ProteinDrug
9606.ensp00000263817,atp,ProteinDrug
9606.ensp00000478255,atp,ProteinDrug
9606.ensp00000359478,atp,ProteinDrug
9606.ensp00000205557,atp,ProteinDrug
9606.ensp00000366084,atp,ProteinDrug
9606.ensp00000382342,atp,ProteinDrug
9606.ensp00000003084,atp,ProteinDrug
9606.ensp00000217244,atp,ProteinDrug
9606.ensp00000419425,proline,ProteinDrug
9606.ensp00000287936,pravastatin,ProteinDrug
9606.ensp00000261707,fluvoxamine,ProteinDrug
9606.ensp00000262186,fluvoxamine,ProteinDrug
9606.ensp00000298472,amphetamine,ProteinDrug
9606.ensp00000270349,amphetamine,ProteinDrug
9606.ensp00000219833,amphetamine,ProteinDrug
9606.ensp00000368766,amphetamine,ProteinDrug
9606.ensp00000306662,amphetamine,ProteinDrug
9606.ensp00000280155,amphetamine,ProteinDrug
9606.ensp00000480573,amphetamine,ProteinDrug
9606.ensp00000386069,amphetamine,ProteinDrug
9606.ensp00000358301,amphetamine,ProteinDrug
9606.ensp00000305372,amphetamine,ProteinDrug
9606.ensp00000343782,amphetamine,ProteinDrug
9606.ensp00000354859,amphetamine,ProteinDrug
9606.ensp00000367309,amphetamine,ProteinDrug
9606.ensp00000261707,amphetamine,ProteinDrug
9606.ensp00000340684,amphetamine,ProteinDrug
9606.ensp00000359285,nicotine,ProteinDrug
9606.ensp00000407546,nicotine,ProteinDrug
9606.ensp00000357461,nicotine,ProteinDrug
9606.ensp00000385026,nicotine,ProteinDrug
9606.ensp00000315602,nicotine,ProteinDrug
9606.ensp00000312663,nicotine,ProteinDrug
9606.ensp00000250699,nicotine,ProteinDrug
9606.ensp00000261751,nicotine,ProteinDrug
9606.ensp00000379683,nicotine,ProteinDrug
9606.ensp00000393097,lorazepam,ProteinDrug
9606.ensp00000421828,lorazepam,ProteinDrug
9606.ensp00000359337,lorazepam,ProteinDrug
9606.ensp00000264318,lorazepam,ProteinDrug
9606.ensp00000335592,lorazepam,ProteinDrug
9606.ensp00000274545,lorazepam,ProteinDrug
9606.ensp00000295454,lorazepam,ProteinDrug
9606.ensp00000274547,lorazepam,ProteinDrug
9606.ensp00000308725,lorazepam,ProteinDrug
9606.ensp00000367848,lorazepam,ProteinDrug
9606.ensp00000359353,lorazepam,ProteinDrug
9606.ensp00000295452,lorazepam,ProteinDrug
9606.ensp00000410732,lorazepam,ProteinDrug
9606.ensp00000479113,lorazepam,ProteinDrug
9606.ensp00000430100,lorazepam,ProteinDrug
9606.ensp00000469332,lorazepam,ProteinDrug
9606.ensp00000379563,lorazepam,ProteinDrug
9606.ensp00000393097,ethchlorvynol,ProteinDrug
9606.ensp00000421828,ethchlorvynol,ProteinDrug
9606.ensp00000359337,ethchlorvynol,ProteinDrug
9606.ensp00000264318,ethchlorvynol,ProteinDrug
9606.ensp00000335592,ethchlorvynol,ProteinDrug
9606.ensp00000274545,ethchlorvynol,ProteinDrug
9606.ensp00000295454,ethchlorvynol,ProteinDrug
9606.ensp00000274547,ethchlorvynol,ProteinDrug
9606.ensp00000308725,ethchlorvynol,ProteinDrug
9606.ensp00000367848,ethchlorvynol,ProteinDrug
9606.ensp00000359353,ethchlorvynol,ProteinDrug
9606.ensp00000295452,ethchlorvynol,ProteinDrug
9606.ensp00000410732,ethchlorvynol,ProteinDrug
9606.ensp00000479113,ethchlorvynol,ProteinDrug
9606.ensp00000430100,ethchlorvynol,ProteinDrug
9606.ensp00000469332,ethchlorvynol,ProteinDrug
9606.ensp00000219833,phentermine,ProteinDrug
9606.ensp00000261707,phentermine,ProteinDrug
9606.ensp00000270349,phentermine,ProteinDrug
9606.ensp00000340684,phentermine,ProteinDrug
9606.ensp00000367309,phentermine,ProteinDrug
9606.ensp00000394624,tramadol,ProteinDrug
9606.ensp00000219833,tramadol,ProteinDrug
9606.ensp00000261707,tramadol,ProteinDrug
9606.ensp00000276198,tramadol,ProteinDrug
9606.ensp00000265572,tramadol,ProteinDrug
9606.ensp00000234961,tramadol,ProteinDrug
9606.ensp00000255380,tramadol,ProteinDrug
9606.ensp00000306490,tramadol,ProteinDrug
9606.ensp00000287820,troglitazone,ProteinDrug
9606.ensp00000223095,troglitazone,ProteinDrug
9606.ensp00000377424,troglitazone,ProteinDrug
9606.ensp00000355904,troglitazone,ProteinDrug
9606.ensp00000384851,troglitazone,ProteinDrug
9606.ensp00000310928,troglitazone,ProteinDrug
9606.ensp00000385523,troglitazone,ProteinDrug
9606.ensp00000381607,troglitazone,ProteinDrug
9606.ensp00000353720,oseltamivir,ProteinDrug
9606.ensp00000262186,erythromycin,ProteinDrug
9606.ensp00000355536,hydroxocobalamin,ProteinDrug
9606.ensp00000356205,caffeine,ProteinDrug
9606.ensp00000336630,caffeine,ProteinDrug
9606.ensp00000352608,caffeine,ProteinDrug
9606.ensp00000298472,reserpine,ProteinDrug
9606.ensp00000307259,ticlopidine,ProteinDrug
9606.ensp00000388510,adapalene,ProteinDrug
9606.ensp00000332296,adapalene,ProteinDrug
9606.ensp00000352900,adapalene,ProteinDrug
9606.ensp00000363817,adapalene,ProteinDrug
9606.ensp00000254066,adapalene,ProteinDrug
9606.ensp00000419692,adapalene,ProteinDrug
9606.ensp00000356438,adapalene,ProteinDrug
9606.ensp00000262623,pantoprazole,ProteinDrug
9606.ensp00000379822,torasemide,ProteinDrug
9606.ensp00000261707,citalopram,ProteinDrug
9606.ensp00000380247,citalopram,ProteinDrug
9606.ensp00000363748,eletriptan,ProteinDrug
9606.ensp00000358963,eletriptan,ProteinDrug
9606.ensp00000322924,eletriptan,ProteinDrug
9606.ensp00000316244,eletriptan,ProteinDrug
9606.ensp00000307766,eletriptan,ProteinDrug
9606.ensp00000258400,eletriptan,ProteinDrug
9606.ensp00000337949,eletriptan,ProteinDrug
9606.ensp00000280155,bethanidine,ProteinDrug
9606.ensp00000480573,bethanidine,ProteinDrug
9606.ensp00000386069,bethanidine,ProteinDrug
9606.ensp00000376432,bethanidine,ProteinDrug
9606.ensp00000358301,bethanidine,ProteinDrug
9606.ensp00000305372,bethanidine,ProteinDrug
9606.ensp00000343782,bethanidine,ProteinDrug
9606.ensp00000287936,lovastatin,ProteinDrug
9606.ensp00000349252,lovastatin,ProteinDrug
9606.ensp00000430432,lovastatin,ProteinDrug
9606.ensp00000393097,enflurane,ProteinDrug
9606.ensp00000421828,enflurane,ProteinDrug
9606.ensp00000359337,enflurane,ProteinDrug
9606.ensp00000264318,enflurane,ProteinDrug
9606.ensp00000335592,enflurane,ProteinDrug
9606.ensp00000274545,enflurane,ProteinDrug
9606.ensp00000295454,enflurane,ProteinDrug
9606.ensp00000274547,enflurane,ProteinDrug
9606.ensp00000308725,enflurane,ProteinDrug
9606.ensp00000367848,enflurane,ProteinDrug
9606.ensp00000359353,enflurane,ProteinDrug
9606.ensp00000295452,enflurane,ProteinDrug
9606.ensp00000410732,enflurane,ProteinDrug
9606.ensp00000479113,enflurane,ProteinDrug
9606.ensp00000430100,enflurane,ProteinDrug
9606.ensp00000469332,enflurane,ProteinDrug
9606.ensp00000411593,enflurane,ProteinDrug
9606.ensp00000264428,enflurane,ProteinDrug
9606.ensp00000262888,enflurane,ProteinDrug
9606.ensp00000371985,enflurane,ProteinDrug
9606.ensp00000421326,enflurane,ProteinDrug
9606.ensp00000428994,enflurane,ProteinDrug
9606.ensp00000393097,temazepam,ProteinDrug
9606.ensp00000421828,temazepam,ProteinDrug
9606.ensp00000359337,temazepam,ProteinDrug
9606.ensp00000264318,temazepam,ProteinDrug
9606.ensp00000335592,temazepam,ProteinDrug
9606.ensp00000274545,temazepam,ProteinDrug
9606.ensp00000295454,temazepam,ProteinDrug
9606.ensp00000274547,temazepam,ProteinDrug
9606.ensp00000308725,temazepam,ProteinDrug
9606.ensp00000295452,temazepam,ProteinDrug
9606.ensp00000410732,temazepam,ProteinDrug
9606.ensp00000479113,temazepam,ProteinDrug
9606.ensp00000367848,temazepam,ProteinDrug
9606.ensp00000359353,temazepam,ProteinDrug
9606.ensp00000430100,temazepam,ProteinDrug
9606.ensp00000412673,temazepam,ProteinDrug
9606.ensp00000386029,temazepam,ProteinDrug
9606.ensp00000481321,temazepam,ProteinDrug
9606.ensp00000469332,temazepam,ProteinDrug
9606.ensp00000379563,temazepam,ProteinDrug
9606.ensp00000393097,butabarbital,ProteinDrug
9606.ensp00000421828,butabarbital,ProteinDrug
9606.ensp00000359337,butabarbital,ProteinDrug
9606.ensp00000264318,butabarbital,ProteinDrug
9606.ensp00000335592,butabarbital,ProteinDrug
9606.ensp00000274545,butabarbital,ProteinDrug
9606.ensp00000295454,butabarbital,ProteinDrug
9606.ensp00000274547,butabarbital,ProteinDrug
9606.ensp00000308725,butabarbital,ProteinDrug
9606.ensp00000367848,butabarbital,ProteinDrug
9606.ensp00000359353,butabarbital,ProteinDrug
9606.ensp00000295452,butabarbital,ProteinDrug
9606.ensp00000410732,butabarbital,ProteinDrug
9606.ensp00000479113,butabarbital,ProteinDrug
9606.ensp00000430100,butabarbital,ProteinDrug
9606.ensp00000469332,butabarbital,ProteinDrug
9606.ensp00000359285,butabarbital,ProteinDrug
9606.ensp00000407546,butabarbital,ProteinDrug
9606.ensp00000296526,butabarbital,ProteinDrug
9606.ensp00000393097,butalbital,ProteinDrug
9606.ensp00000421828,butalbital,ProteinDrug
9606.ensp00000359337,butalbital,ProteinDrug
9606.ensp00000264318,butalbital,ProteinDrug
9606.ensp00000335592,butalbital,ProteinDrug
9606.ensp00000274545,butalbital,ProteinDrug
